Latitude,Longitude,Total Ports,EV Connector Type
40.681274,-73.981216,0,J1772COMBO
40.681274,-73.981216,0,Simultaneous DCFC Ports
40.681274,-73.981216,6,TESLA
40.681876,-73.964169,0,CHADEMO
40.681876,-73.964169,0,J1772
40.681876,-73.964169,0,J1772COMBO
40.681876,-73.964169,0,Simultaneous DCFC Ports
40.681876,-73.964169,4,TESLA
40.682617,-73.36706,0,CHADEMO
40.682617,-73.36706,2,J1772
40.682617,-73.36706,0,J1772COMBO
40.682617,-73.36706,0,Simultaneous DCFC Ports
40.682617,-73.36706,0,TESLA
40.682659,-73.367178,0,CHADEMO
40.682659,-73.367178,2,J1772
40.682659,-73.367178,0,J1772COMBO
40.682659,-73.367178,0,Simultaneous DCFC Ports
40.682659,-73.367178,0,TESLA
40.682964,-73.96582,0,CHADEMO
40.682964,-73.96582,2,J1772
40.682964,-73.96582,0,J1772COMBO
40.682964,-73.96582,0,Simultaneous DCFC Ports
40.682964,-73.96582,0,TESLA
40.683176,-73.981914,0,CHADEMO
40.683176,-73.981914,0,J1772
40.683176,-73.981914,0,J1772COMBO
40.683176,-73.981914,0,Simultaneous DCFC Ports
40.683176,-73.981914,4,TESLA
40.683295,-73.973753,0,CHADEMO
40.683295,-73.973753,0,J1772
40.683295,-73.973753,0,J1772COMBO
40.683295,-73.973753,0,Simultaneous DCFC Ports
40.683295,-73.973753,4,TESLA
40.683715,-73.974337,0,CHADEMO
40.683715,-73.974337,0,J1772
40.683715,-73.974337,0,J1772COMBO
40.683715,-73.974337,0,Simultaneous DCFC Ports
40.683715,-73.974337,12,TESLA
40.6861461,-73.6249835,0,CHADEMO
40.6861461,-73.6249835,2,J1772
40.6861461,-73.6249835,0,J1772COMBO
40.6861461,-73.6249835,0,Simultaneous DCFC Ports
40.6861461,-73.6249835,0,TESLA
40.686628,-73.978374,0,CHADEMO
40.686628,-73.978374,0,J1772
40.686628,-73.978374,0,J1772COMBO
40.686628,-73.978374,0,Simultaneous DCFC Ports
40.686628,-73.978374,4,TESLA
40.6870902,-73.4148646,1,CHADEMO
40.6870902,-73.4148646,1,J1772
40.6870902,-73.4148646,0,J1772COMBO
40.6870902,-73.4148646,0,Simultaneous DCFC Ports
40.6870902,-73.4148646,0,TESLA
40.68722,-73.981174,0,CHADEMO
40.68722,-73.981174,0,J1772
40.68722,-73.981174,0,J1772COMBO
40.68722,-73.981174,0,Simultaneous DCFC Ports
40.68722,-73.981174,4,TESLA
40.687927,-73.982998,0,CHADEMO
40.687927,-73.982998,0,J1772
40.687927,-73.982998,0,J1772COMBO
40.687927,-73.982998,0,Simultaneous DCFC Ports
40.687927,-73.982998,4,TESLA
40.68806,-73.979449,0,CHADEMO
40.68806,-73.979449,1,J1772
40.68806,-73.979449,0,J1772COMBO
40.68806,-73.979449,0,Simultaneous DCFC Ports
40.68806,-73.979449,2,TESLA
40.68872,-73.406165,0,CHADEMO
40.68872,-73.406165,0,J1772
40.68872,-73.406165,0,J1772COMBO
40.68872,-73.406165,0,Simultaneous DCFC Ports
40.68872,-73.406165,8,TESLA
40.688799,-73.988642,0,CHADEMO
40.688799,-73.988642,1,J1772
40.688799,-73.988642,0,J1772COMBO
40.688799,-73.988642,0,Simultaneous DCFC Ports
40.688799,-73.988642,2,TESLA
40.689411,-73.978741,0,CHADEMO
40.689411,-73.978741,0,J1772
40.689411,-73.978741,0,J1772COMBO
40.689411,-73.978741,0,Simultaneous DCFC Ports
40.689411,-73.978741,2,TESLA
40.689671,-73.991786,0,CHADEMO
40.689671,-73.991786,1,J1772
40.689671,-73.991786,0,J1772COMBO
40.689671,-73.991786,0,Simultaneous DCFC Ports
40.689671,-73.991786,5,TESLA
40.690809,-73.990016,0,CHADEMO
40.690809,-73.990016,1,J1772
40.690809,-73.990016,0,J1772COMBO
40.690809,-73.990016,0,Simultaneous DCFC Ports
40.690809,-73.990016,3,TESLA
40.691652,-73.985733,0,CHADEMO
40.691652,-73.985733,0,J1772
